WO_NUMBER,WO_CREATEDATE,WO_COMPLETEDATE,WO_DESC,WO_TYPE,WO_TYPEDESC,WO_CUSTOMERNUMBER,SALES_CLASS,SERVICEADDRESSSTREETNUMBER,ServiceAddressStreetName,Year,Month,Zip
842289,10/15/13,10/16/13,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8600147300,CITY SCHOOLS,12XX,NASHVILLE ST,2013,10,48205-3848
860558,10/29/13,10/29/13,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8600138300,CITY SCHOOLS,61XX,VAN DYKE,2013,10,48213-2451
860432,10/29/13,10/29/13,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8600121300,CITY SCHOOLS,61XX,VAN DYKE,2013,10,48213-2451
907163,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503956300,CITY RESIDENTIAL,47XX,LAKEPOINTE ST,2013,12,48224-2827
907162,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503949301,CITY RESIDENTIAL,41XX,LAKEPOINTE ST,2013,12,48224-3320
907161,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503948300,CITY RESIDENTIAL,41XX,MARYLAND ST,2013,12,48224-3335
781696,9/10/13,9/26/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503944300,CITY RESIDENTIAL,43XX,LAKEPOINTE ST,2013,9,48224-3351
907160,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503943300,CITY RESIDENTIAL,43XX,LAKEPOINTE ST,2013,12,48224-3351
907159,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503937300,CITY RESIDENTIAL,36XX,LAKEPOINTE ST,2013,12,48224-3318
907157,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503936300,CITY RESIDENTIAL,36XX,LAKEPOINTE ST,2013,12,48224-3318
907156,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503930300,CITY RESIDENTIAL,41XX,MARYLAND ST,2013,12,48224-3336
907155,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503929300,CITY RESIDENTIAL,41XX,MARYLAND ST,2013,12,48224-3336
907153,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503923300,CITY RESIDENTIAL,42XX,MARYLAND ST,2013,12,48224
907152,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503920300,CITY RESIDENTIAL,47XX,LAKEPOINTE ST,2013,12,48224-3326
907151,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503919300,CITY RESIDENTIAL,44XX,LAKEPOINTE ST,2013,12,48224-3351
907149,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503917300,CITY RESIDENTIAL,44XX,LAKEPOINTE ST,2013,12,48224-3351
907146,11/21/13,11/22/13,VOID,318,CC TURN-OFF NON-PAYMENT,8503909300,CITY RESIDENTIAL,36XX,WAYBURN ST,2013,11,48224-3368
907145,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503908300,CITY RESIDENTIAL,36XX,WAYBURN ST,2013,12,48224-3368
907144,11/21/13,12/2/13,VOID,318,CC TURN-OFF NON-PAYMENT,8503907300,CITY RESIDENTIAL,36XX,WAYBURN ST,2013,12,48224-3368
907143,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503905300,CITY RESIDENTIAL,47XX,LAKEPOINTE ST,2013,12,48224-3324
907142,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503900300,CITY RESIDENTIAL,43XX,LAKEPOINTE ST,2013,12,48224-3358
907141,11/21/13,12/2/13,VOID,318,CC TURN-OFF NON-PAYMENT,8503899300,CITY RESIDENTIAL,42XX,LAKEPOINTE ST,2013,12,48224-3358
907140,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503895300,CITY RESIDENTIAL,42XX,LAKEPOINTE ST,2013,12,48224-3358
907139,11/21/13,11/25/13,VOID,318,CC TURN-OFF NON-PAYMENT,8503886300,CITY RESIDENTIAL,43XX,MARYLAND ST,2013,11,48224-3338
907138,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503884300,,XX,,2013,12,#N/A
907137,11/21/13,11/25/13,VOID,318,CC TURN-OFF NON-PAYMENT,8503882300,CITY RESIDENTIAL,42XX,MARYLAND ST,2013,11,48224-3335
907136,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503879300,CITY RESIDENTIAL,42XX,MARYLAND ST,2013,12,48224-3335
907135,11/21/13,12/4/13,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503877300,CITY RESIDENTIAL,42XX,MARYLAND ST,2013,12,48224-3335
